Показник,Значення,Рік,Громада,Джерело
Аварій в системі електропостачання,"1326,00",2019,Вінниця,Обленерго
Спожито енергії в приватних будинках,"78335115,00",2019,Вінниця,Обленерго
"Електроенергія із ВДЕ, вироблена в громаді (сонячна+вітрова+біомаси+гідро+геотермальна)","1295861,00",2020,Вінниця,Обленерго
Спожито електроенергії в житловому секторі,"261363274,00",2020,Вінниця,Обленерго
"Вся електроенергія, спожита в громаді","835380039,00",2020,Вінниця,Обленерго
Домогосподарств із електропостачанням,"155237,00",2020,Вінниця,Обленерго
Годин без електропостачання внаслідок аварій,"2032,00",2020,Вінниця,Обленерго
Аварій в системі електропостачання,"1265,00",2020,Вінниця,Обленерго
Спожито енергії в приватних будинках,"81196215,00",2020,Вінниця,Обленерго
Спожито енергії в багатоквартирних будинках з індивідуальним опаленням,"270587398,45",2018,Вінниця,Облгаз
Спожито природного газу в житловому секторі,"889487782,81",2018,Вінниця,Облгаз
Домогосподарств із газопостачанням,"145300,00",2018,Вінниця,Облгаз
Годин без газопостачання внаслідок аварій,"301,00",2018,Вінниця,Облгаз
Аварій в системі газопостачання,"8,00",2018,Вінниця,Облгаз
Спожито енергії в багатоквартирних будинках з індивідуальним опаленням,"257733490,00",2019,Вінниця,Облгаз
Спожито природного газу в житловому секторі,"812408707,33",2019,Вінниця,Облгаз
Домогосподарств із газопостачанням,"147362,00",2019,Вінниця,Облгаз
Годин без газопостачання внаслідок аварій,"327,00",2019,Вінниця,Облгаз
Аварій в системі газопостачання,"8,00",2019,Вінниця,Облгаз
Спожито енергії в багатоквартирних будинках з індивідуальним опаленням,"267056610,65",2020,Вінниця,Облгаз
Спожито природного газу в житловому секторі,"805570130,73",2020,Вінниця,Облгаз
Домогосподарств із газопостачанням,"149589,00",2020,Вінниця,Облгаз
Годин без газопостачання внаслідок аварій,"245,00",2020,Вінниця,Облгаз
Аварій в системі газопостачання,"6,00",2020,Вінниця,Облгаз
Спожито холодної води населенням,"11364381,00",2018,Вінниця,Водоканал
Реалізовано холодної води підприємствами водопостачання,"19931433,00",2018,Вінниця,Водоканал
Втрат води в мережах,"9167820,00",2018,Вінниця,Водоканал
"Дощових стоків, котрі проходять очистку","401,00",2018,Вінниця,Водоканал
"Каналізаційних стоків, котрі проходять очистку","24266532,00",2018,Вінниця,Водоканал
Годин без холодного водопостачання внаслідок аварій,"3,00",2018,Вінниця,Водоканал
Аварій в системі холодного водопостачання,"1436,00",2018,Вінниця,Водоканал
Мереж водопостачання в аварійному стані,"162,20",2018,Вінниця,Водоканал
Годин без водовідведення та каналізації внаслідок аварій,"3,00",2018,Вінниця,Водоканал
Аварій в системі водовідведення та каналізації,"34,00",2018,Вінниця,Водоканал
Мереж водовідведення та каналізації в аварійному стані,"85,10",2018,Вінниця,Водоканал
Домогосподарств із централізованим водопостачанням,"127036,00",2018,Вінниця,Водоканал
"Осіб, котрим надається водопостачання","363667,00",2018,Вінниця,Водоканал
Спожито енергоресурсів підприємствами водопостачання,"23570000,00",2018,Вінниця,Водоканал
Каналізаційних стоків за рік,"24266532,00",2018,Вінниця,Водоканал
Мулу із каналізаційних стоків за рік,"16400,80",2018,Вінниця,Водоканал
