Населення,Вік,"Чоловіків працездатного віку / 
Чоловіків",%,1,1,Чоловіків працездатного віку,Чоловіків,FC-01,0,0
Населення,Вік,"Чоловіків після працездатного віку / 
Чоловіків",%,1,1,Чоловіків після працездатного віку,Чоловіків,FC-02,0,0
Населення,Вік,"Чоловіків до працездатного віку / 
Чоловіків",%,1,1,Чоловіків до працездатного віку,Чоловіків,FC-03,0,0
Населення,Вік,"Жінок працездатного віку / 
Жінок",%,1,1,Жінок працездатного віку,Жінок,FC-04,0,0
Населення,Вік,"Жінок після працездатного віку / 
Жінок",%,1,1,Жінок після працездатного віку,Жінок,FC-05,0,0
Населення,Вік,"Жінок до працездатного віку / 
Жінок",%,1,1,Жінок до працездатного віку,Жінок,FC-06,0,0
Населення,Здоров'я,"Середня тривалість життя в громаді / 
Середня тривалість життя в країні",%,1,3,Середня тривалість життя в громаді,Середня тривалість життя в країні,FD-01,0,0
Населення,Здоров'я,"Середня тривалість життя чоловіків в громаді / 
Середня тривалість життя чоловіків в країні",%,1,3,Середня тривалість життя чоловіків в громаді,Середня тривалість життя чоловіків в країні,FD-02,0,0
Населення,Здоров'я,"Середня тривалість життя жінок в громаді / 
Середня тривалість життя жінок в країні",%,1,3,Середня тривалість життя жінок в громаді,Середня тривалість життя жінок в країні,FD-03,0,0
Населення,Здоров'я,"Звернень із хворобами, спричиненими екологією / 
Звернень із хворобами",%,1,30,"Звернень із хворобами, спричиненими екологією",Звернень із хворобами,FD-04,0,0
Населення,Освіта,"Учнів шкіл / 
Мешканців",%,1,3,Учнів шкіл,Мешканців,FE-01,0,0
Населення,Освіта,"Студентів / 
Мешканців",%,1,5,Студентів,Мешканців,FE-02,0,0
Населення,Освіта,"Дітей в ДНЗ / 
Мешканців",%,1,3,Дітей в ДНЗ,Мешканців,FE-03,0,0
Населення,Освіта,"Дітей дошкільного віку на черзі в потрапляння ДНЗ / 
Місць в ДНЗ","Осіб / 
осіб",2,-100,Дітей дошкільного віку на черзі в потрапляння ДНЗ,Місць в ДНЗ,FE-04,0,0
Транспорт,Кількість ТЗ,"Зареєстрованих автотранспортних засобів / 
Мешканців","Од. / 
тис.осіб",1,-1,Зареєстрованих автотранспортних засобів,Мешканців,GA-01,0,0
Транспорт,Кількість ТЗ,"Зареєстрованих бензинових транспортних засобів / 
Зареєстрованих транспортних засобів",%,1,1,Зареєстрованих бензинових транспортних засобів,Зареєстрованих транспортних засобів,GA-02,0,0
Транспорт,Кількість ТЗ,"Зареєстрованих дизельних транспортних засобів / 
Зареєстрованих транспортних засобів",%,1,-1,Зареєстрованих дизельних транспортних засобів,Зареєстрованих транспортних засобів,GA-03,0,0
Транспорт,Кількість ТЗ,"Зареєстрованих електричних та гібридних транспортних засобів / 
Зареєстрованих транспортних засобів",%,2,200,Зареєстрованих електричних та гібридних транспортних засобів,Зареєстрованих транспортних засобів,GA-04,0,0
Транспорт,Кількість ТЗ,"Зареєстрованих транспортних засобів із ГБО / 
Зареєстрованих транспортних засобів",%,1,3,Зареєстрованих транспортних засобів із ГБО,Зареєстрованих транспортних засобів,GA-05,0,0
Транспорт,Кількість ТЗ,"Зареєстрованих легкових автомобілів / 
Зареєстрованих транспортних засобів",%,1,1,Зареєстрованих легкових автомобілів,Зареєстрованих транспортних засобів,GA-06,0,0
Транспорт,Кількість ТЗ,"Зареєстрованих вантажних автомобілів / 
Зареєстрованих транспортних засобів",%,1,1,Зареєстрованих вантажних автомобілів,Зареєстрованих транспортних засобів,GA-07,0,0
