Спожито енергії в закладах охорони здоров'я,МВт.год.,8 525,10 430,9 341
Спожито енергії в закладах культури,МВт.год.,847,790,751
Спожито енергії в спортивних закладах,МВт.год.,657,285,218
Спожито енергії в адміністративних та інших закладах,МВт.год.,1 312,1 088,922
Спожито енергії в загальноосвітніх та позашкільні навчальних закладах,МВт.год.,34 053,29 272,25 076
Опалювальна площа утеплених громадських будівель,м2,15 906,88 212,100 704
Опалювальна площа громадських будівель з ІТП,м2,1,22,27
Спожито електроенергії в житловому секторі,кВт.год.,863 732 000,85 464 000,908 467 000
Спожито теплової енергії в житловому секторі,кВт.год.,374 838,318 730,323 014
Спожито енергії в багатоквартирних будинках із централізованим опаленням,кВт.год.,435 936 594,370 682 990,375 665 282
Спожито енергії в житловому секторі,кВт.год.,374 838,318 730,323 014
Спожито електроенергії в житловому секторі,кВт.год.,196 602 000,193 132 000,206 969 000
Спожито теплової енергії в житловому секторі,кВт.год.,435 936 594,370 682 990,375 665 282
Інвестицій в енергоефективність в житловому секторі,Млн.грн.,20,33,20
Видатки на ПЕР в бюджетних установах,Млн.грн.,"90,7","99,8",65
"Осіб, котрим надається водопостачання",осіб,233 272,230 957,230 295
Спожито енергоресурсів  водопостачальними підприємствами,кВт.год.,36 966 000,30 734 000,29 455 000
Каналізаційних стоків за рік,м3,19 914 000,19 400 000,16 724 000
Мулу із каналізаційних стоків за рік,тонн,5 833,6 047,6 287
Мереж водопостачання,км.,526,526,528
Мереж водовідведення та каналізації,км.,259,259,259
Бюджетних установ,Од.,167,168,170
"Будівель бюджетних установ, в котрих доцільно проводити",Од.,97,92,83
Структурних підрозділів в ОМС,Од.,39,39,39
Транспортних засобів,од.,11 678,18 554,17 072
Транспортних засобів із ДВЗ,од.,11 497,18 171,16 470
Транспортних засобів із ГБО,од.,3 486,4 205,2 900
Електромобілів,од.,132,259,453
Опалювальна площа будівель,м2,488 573,488 573,488 573
Спожито енергоресурсів теплопостачальними підприємствами та підприємствами ГВП,кВт.год.,179 107 000,17 131 800,167 429 000
Спожито енергоресурсів теплопостачальними підприємствами саме на теплопостачання,кВт.год.,176 245 000,168 267 000,164 916 000
Перебуває осіб в дошкільних навчальних закладах протягом дня,осіб,6 982,6 607,5 267
Перебуває осіб в загальноосвітніх та позашкільні навчальних закладах протягом дня,осіб,36 146,37 431,37 973
Перебуває осіб в закладах охорони здоров'я протягом дня,осіб,8 811,9 382,6 745
Перебуває осіб в закладах культури протягом дня,осіб,1 500,1 600,1 900
Перебуває осіб в спортивних закладах протягом дня,осіб,470,530,430
Перебуває осіб в адміністративних закладах протягом дня,осіб,3 900,4 300,4 100
Опалювальна площа громадських будівель,м2,417 662,417 662,417 662
Опалювальна площа дошкільних навчальних закладів,м2,111 008,111 008,111 008
Опалювальна площа загальноосвітніх та позашкільних навчальних закладів,м2,220 836,220 836,220 836
Опалювальна площа закладів охорони здоров'я,м2,70 911,70 911,70 911
Опалювальна площа закладів культури,м2,9 530,9 530,9 530
Опалювальна площа спортивних закладів,м2,4 388,4 388,4 388
Опалювальна площа адміністративних та інших закладів,м2,18 358,18 358,18 358
Сплачено за енергоносії в громадських будівлях,млн.грн.,104,86,49
Опалювальна площа громадських будівель із централізованим теплопостачанням,м2,347 462,347 462,347 462
Домогосподарств із електропостачанням,од.,109 448,109 970,111 025
Опалювальна площа квартир в багатоквартирних будинках із централізованим опаленням,м2,2 943 378,2 939 296,2 931 535
Інвестицій в громаду,млн.грн.,262,300,
"Електроенергія із ВДЕ, вироблена в громаді (сонячна+вітрова+біомаси+гідро+геотермальна)",кВт.год.,3780000,4110000,4482000
Спожито електроенергії в житловому секторі,кВт.год.,196 602 000,193 132 000,206 969 000
"Вся електроенергія, спожита в громаді",кВт.год.,701281000,691681000,694132000
Спожито холодної води населенням,м3,9 265 370,9 047 930,8 638 120
Реалізовано холодної води підприємствами водопостачання,м3,3 261 810,3 270 020,2 684 860
Втрат води в мережах,м3,11 948 000,11 216 000,8 913 000
"Каналізаційних стоків, котрі проходять очистку",м3,19 914 000,19 400 000,16 724 000
Очищено мулу із каналізаційних стоків,Тонн,5 833,6 047,6 287
Аварій в системі холодного водопостачання,Од.,1 279,969,1 028
Мереж водопостачання в аварійному стані,Км.,335,335,322
Аварій в системі водовідведення та каналізації,Од.,67,45,116
Мереж водовідведення та каналізації в аварійному стані,Км.,185,185,183
Домогосподарств із централізованим водопостачанням,Од.,19 310,19 087,19 087
"Осіб, котрим надається водопостачання",осіб,233 272,230 957,230 295
Спожито енергоресурсів підприємствами водопостачання,кВт.год.,36 966 000,30 734 000,29 445 000
Каналізаційних стоків за рік,м3,19 914 000,19 400 000,16 724 000
Мулу із каналізаційних стоків за рік,тонн,5 833,6 047,6 287
Мереж водопостачання,км.,526,526,528
Мереж водовідведення та каналізації,км.,259,259,259
Реалізовано теплової енергії теплопостачальними підприємствами на опалення та ГВП,кВт.год.,456 797,393 333,385 073
Спожито опалення від теплопостачальних підприємств,кВт.год.,456 187,392 757,348 517
Спожито енергії в багатоквартирних будинках із централізованим опаленням,кВт.год.,374 838,318 730,323 014
Спожито теплової енергії в житловому секторі,кВт.год.,374 838,318 730,323 014
Спожито енергоресурсів теплопостачальними підприємствами та підприємствами ГВП,кВт.год.,17 911,17 132,16 743
Спожито енергоресурсів теплопостачальними підприємствами саме на теплопостачання,кВт.год.,17 625,16 827,16 492
Домогосподарств із теплопостачанням,од.,66 061,68 501,69 049
Опалювальна площа квартир в багатоквартирних будинках із централізованим опаленням,м2,2 943 378,2 939 269,2 931 535
Опалювальна площа багатоквартирних будинків із централізованим опаленням,м2,2 943 378,2 939 269,2 931 535
Пішохідних переходів,Од.,800,800,800
"Кількість паркомісць (ознакованих, обладнаних, тощо)",Од.,907,907,907
Протяжність пішохідних вулиць,Км.,0,0,0
"Протяжність пішохідних доріжок, хідників, тощо",Км.,392,392,392
"Пасажиро-кілометрів, виконаних електричним громадським транспортом за рік",Пас.км.,5 344,5 626,5 179
Пасажиромісць в громадському транспорті із можливістю безготівкової оплати,Од.,14 500,14 500,14 500
Середньозважена вартість разового проїзду громадським транспортом,Грн.,5,5,6
Велодоріжок,Км.,1,3,3
Велопаркомісць,Од.,1 134,1 200,1 200
"Обладнаних ""велопереїздів""",Од.,0,0,0
ДТП за участю велосипедистів,Од.,9,16,13
Загиблих у ДТП велосипедистів,Од.,0,0,1
"Протяжність доріг, проспектів та вулиць",км.,385,385,385
Протяжність транспортної та пішохідної інфраструктури,км.,385,385,385
Пасажиромісць в громадському транспорті,од.,14 500,14 500,14 500
Неоподатковуваний мінімум доходів громадян,грн.,17,17,17
ДТП,од.,255,302,253
Залучених із МФО грантових та кредитних коштів у сталий розвиток та  енергоефективність,Млн.грн.,35,48,243
Коштів на мотивацію енергоменеджерів та установ,Млн.грн.,,1,1
Видатки бюджету розвитку,Млн.грн.,316,298,234
Доходи загального фонду,Млн.грн.,3 043,3 017,2 576
Доходи спеціального фонду,Млн.грн.,139,183,160
Доходи бюджету розвитку,Млн.грн.,53,99,60
Власні доходи,Млн.грн.,76,75,74
Міжбюджетні трансферти,Млн.грн.,1 524,1 183,601
Неподаткові доходи,Млн.грн.,121,143,159
Доходи від ПДФО в місцевий бюджет,Млн.грн.,977,1 182,1 284
Доходи від акцизного податку в місцевий бюджет,Млн.грн.,128,138,155
Доходи від плати за землю в місцевий бюджет,Млн.грн.,116,134,123
Доходи від ЄП в місцевий бюджет,Млн.грн.,227,280,298
Доходи від податку на нерухоме майно в місцевий бюджет,Млн.грн.,28,38,43
Доходи від туристичного збору в місцевий бюджет,Млн.грн.,0,2,1
Доходи від інших податків та зборів в місцевий бюджет,Млн.грн.,61,102,73
Видатки загального фонду,Млн.грн.,2 774,2 794,2 350
Видатки спеціального фонду,Млн.грн.,402,376,334
Видатки бюджету розвитку,Млн.грн.,,,
Дохідна частина бюджету,Млн.грн.,3 182,3 200,2 737
Видатки на освіту,Млн.грн.,1 032,1 225,1 311
Видатки на охорону здоров'я,Млн.грн.,368,326,187
Видатки на соціальний захист,Млн.грн.,887,563,77
Видатки на ЖКГ,Млн.грн.,220,291,268
Видатки на економічну діяльність,Млн.грн.,363,426,466
Інші видатки,Млн.грн.,305,339,375
Видатки на ПЕР в бюджетних установах,млн.грн.,91,100,65
Видаткова частина бюджету,млн.грн.,3 175,3 170,2 684
Валовий регіональний продукт,Млн.грн.,77 110,85 294,
Юридичних осіб,Осіб,12 047,12 777,13 076
Інвестиції,Тис.грн.,2 420 400 000,3 177 800 000,
Середня заробітна плата в громаді,Грн.,7 836,9 097,10 187
Мешканців,осіб,265,264,264
Обсяг інвестицій в громаді,млн.грн.,2 541,2 840,
Інвестицій в громаду,млн.грн.,262,300,
Безробітних,осіб,1 236,1 231,2 515
Середня заробітна плата в країні,грн.,7 811,9 205,10 341
Середня заробітна плата в області,грн.,7 372,8 528,9 571
Фізичних осіб-підприємців,Осіб,14 300,14 000,
Скарг на екологічну ситуацію,Од.,22,13,7
Скарг на спалювання рослинних залишків та рослинності,Од.,1,,
Скарг на шумове забруднення,Од.,2,3,3
Скарг на інші забруднення,Од.,12,5,1
Учнів шкіл,Осіб,30 363,31 606,32 118
Студентів,Осіб,24 613,24 474,22 051
Дітей в ДНЗ,Осіб,13 428,12 467,11 705
Дітей дошкільного віку на черзі в потрапляння ДНЗ,Осіб,396,205,150
Спожито енергії в дошкільних навчальних закладах,МВт.год.,2 929,2 995,2 216
Спожито енергії в загальноосвітніх та позашкільні навчальних закладах,МВт.год.,1 347,1 615,1 333
Місць в ДНЗ,осіб,9 095,9 241,9 179
Перебуває осіб в дошкільних навчальних закладах протягом дня,осіб,6 982,6 607,5 267
Перебуває осіб в загальноосвітніх та позашкільні навчальних закладах протягом дня,осіб,36 146,37 431,37 973
"Звернень із хворобами, спричиненими екологією",Осіб,373,303,188
Спожито енергії в закладах охорони здоров'я,МВт.год.,2 344,2 226,2 361
Смертей,осіб,3 262,3 219,3 569
Звернень із хворобами,осіб,207 438,204 536,144 487
Перебуває осіб в закладах охорони здоров'я протягом дня,осіб,8 811,9 382,6 745
Спожито енергії в дошкільних навчальних закладах,МВт.год.,2 929,2 995,2 216
Спожито енергії в загальноосвітніх та позашкільні навчальних закладах,МВт.год.,1 347,1 615,1 333
Спожито енергії в закладах охорони здоров'я,МВт.год.,2 344,2 226,2 361
Спожито енергії в закладах культури,МВт.год.,847,790,751
Перебуває осіб в дошкільних навчальних закладах протягом дня,осіб,6 982,6 607,5 267
Перебуває осіб в загальноосвітніх та позашкільні навчальних закладах протягом дня,осіб,36 146,37 431,37 973
Перебуває осіб в закладах охорони здоров'я протягом дня,осіб,8 811,9 382,6 745
Перебуває осіб в закладах культури протягом дня,осіб,2 620,2 593,1 876
Перебуває осіб в спортивних закладах протягом дня,осіб,470,530,430
Перебуває осіб в адміністративних закладах протягом дня,осіб,3 900,4 300,4 100
Малих архітектурних форм,Од.,76,104,145
Територія громади,км2,93,93,93
Домогосподарств,Од.,1 586,1 586,1 586
Квартир в багатоквартирних будинках,Од.,63 796,63 796,63 796
Опалювальна площа утеплених багатоквартирних будинків із централізованим опаленням,м2,3 012,3 012,3 012
Опалювальна площа багатоквартирних будинків з ОСББ,м2,1 539 960,1 711 828,1 918 285
Домогосподарств із електропостачанням,од.,1 586,1 586,1 586
Домогосподарств із теплопостачанням,од.,959,959,959
Домогосподарств із газопостачанням,од.,1 586,1 586,1 586
Площа розораних земель та земель с/г призначення,Км2,12,12,12
Загальна площа посівів,га,1 193,1 193,1 193
Домогосподарств із субсидіями,Од.,50 235,27 881,21 175
Домогосподарств із субсидіями в приватному секторі,Од.,17 209,9 767,11 104
Квартир із субсидіями в багатоквартирних будинках,Од.,33 026,18 114,10 071
"Домогосподарств, яким надаються послуги поводження із побутовими відходами",Од.,35 000,35 000,35 000
Утворених побутових відходів ,Кг.,46 004 360,46 991 100,48 686 720
Тариф на поводження з м3 побутових відходів,Грн.,56,90,100
Відпрацьовано людино-годин на поводження із побутовими відходами за рік,Год.,131 576,133 728,130 725
Енергії від спалювання сміття,МВт.год.,0,0,0
Потужність встановленої енергетичної установки для використання полігонного газу,МВт.,1,1,1
Видобуто полігонного газу для енергетичних потреб,Тис.м3,2 917,3 305,2 268
Вироблено теплової енергії із полігонного газу,МВт.год.,0,0,0
Вироблено електроенергії із полігонного газу,МВт.год.,381,378,443
Обсяг захоронених відходів за рік,тонн,46 004,46 991,50 285
Всього побутових відходів за рік,тонн,46 004,46 991,50 285
Обсяг захоронених відходів,тонн,46 004,46 991,50 285
Кількість світлодіодних ламп зовнішнього освітлення,Од.,15 200,15 408,15 686
"Протяжність освітлених доріг, проспектів та вулиць",Км.,495 659,509 571,501 692
Кількість ламп зовнішнього освітлення,од.,14 773,15 408,15 686
"Камер відеоспостереження, підключених до єдиного диспетчерського центру(-ів)",Од.,112,239,280
Аварій в системі електропостачання,Од.,658,517,406
Аварій в системі теплопостачання,Од.,12,12,7
Аварій в системі газопостачання,Од.,74,103,138
"Камер відеоспостереження, підключених до єдиного диспетчерського центру(-ів)",Од.,135,204,254
Смертей від насильницьких причин,Осіб,9,12,19
ДТП за участю велосипедистів,Од.,18,17,23
Смертей,осіб,2,4,5
ДТП,од.,1 382,1 444,1 528
Зареєстрованих автотранспортних засобів,Од.,11 678,18 554,17 072
Зареєстрованих бензинових транспортних засобів,Од.,3 298,5 717,7 583
Зареєстрованих дизельних транспортних засобів,Од.,4 163,7 761,5 544
Зареєстрованих електричних та гібридних транспортних засобів,Од.,181,383,602
Зареєстрованих транспортних засобів із ГБО,Од.,3 486,4 205,2 900
Зареєстрованих легкових автомобілів,Од.,9 243,15 861,15 000
Зареєстрованих вантажних автомобілів,Од.,1 438,1 607,1 259
Зареєстрованих автобусів,Од.,211,295,137
Зареєстрованих мототранспортних засобів,Од.,239,303,231
Використано палива за рік,кВт.год.,3 264 541 000,3 121 492 000,2 616 750 000
Використано бензину за рік,кВт.год.,59 458 200,69 403 980,48 746 130
Використано дизпалива за рік,кВт.год.,166 782 070,302 211 210,152 435 430
Чоловіків працездатного віку,Од.,79 978,79 060,78 296
Чоловіків після працездатного віку,Од.,18 981,19 309,19 537
Чоловіків до працездатного віку,Од.,22 554,22 573,22 626
Жінок працездатного віку,Од.,86 025,84 836,83 840
Жінок після працездатного віку,Од.,35 216,35 978,36 587
Жінок до працездатного віку,Од.,21 229,21 305,21 364
Середня тривалість життя в громаді,Років,70,70,70
Середня тривалість життя чоловіків в громаді,Років,65,65,64
Середня тривалість життя жінок в громаді,Років,76,76,75
Використано палива за рік,кВт.год.,3 264 541 000,3 121 492 000,2 616 750 000
Використано бензину за рік,кВт.год.,59 458 200,69 403 980,48 746 130
Використано дизпалива за рік,кВт.год.,166 782 070,302 211 210,152 435 430
Чоловіків,осіб,121 513,120 942,120 459
Жінок,осіб,142 470,142 119,141 791
Середня тривалість життя в країні,років,72,72,71
Середня тривалість життя чоловіків в країні,років,67,6 692,66
Середня тривалість життя жінок в країні,років,77,77,76
Потужність встановленої енергетичної установки для використання полігонного газу,МВт.,1,1,1
Видобуто полігонного газу для енергетичних потреб,Тис.м3,2 917,3 305,2 268
Вироблено електроенергії із полігонного газу,МВт.год.,381,378,443
