Показник,Значення,Рік,Громада,Джерело
Спожито природного газу в житловому секторі,163036072,2018,Сєвєродонецьк,Енергоменеджер
Інвестицій в енергоефективність в житловому секторі,11.3,2018,Сєвєродонецьк,Енергоменеджер
Інвестовано в енергоефективність громадських будівель,67.6,2019,Сєвєродонецьк,Енергоменеджер
Опалювальна площа утеплених громадських будівель,7614,2019,Сєвєродонецьк,Енергоменеджер
Опалювальна площа громадських будівель з ІТП,36570,2019,Сєвєродонецьк,Енергоменеджер
Спожито електроенергії в житловому секторі,93139647,2019,Сєвєродонецьк,Енергоменеджер
Спожито теплової енергії в житловому секторі,267563269,2019,Сєвєродонецьк,Енергоменеджер
Спожито природного газу в житловому секторі,158013361,2019,Сєвєродонецьк,Енергоменеджер
Спожито енергії в багатоквартирних будинках із централізованим опаленням,351756833,2019,Сєвєродонецьк,Енергоменеджер
Спожито енергії в багатоквартирних будинках з індивідуальним опаленням,1628421,2019,Сєвєродонецьк,Енергоменеджер
Спожито енергії в приватних будинках,8896573,2019,Сєвєродонецьк,Енергоменеджер
Спожито енергії в житловому секторі,518716277,2019,Сєвєродонецьк,Енергоменеджер
Спожито електроенергії в житловому секторі,93139647,2019,Сєвєродонецьк,Енергоменеджер
Спожито теплової енергії в житловому секторі,267563269,2019,Сєвєродонецьк,Енергоменеджер
Спожито природного газу в житловому секторі,158013361,2019,Сєвєродонецьк,Енергоменеджер
Інвестицій в енергоефективність в житловому секторі,10.7,2019,Сєвєродонецьк,Енергоменеджер
Інвестовано в енергоефективність громадських будівель,36.1,2020,Сєвєродонецьк,Енергоменеджер
Опалювальна площа утеплених громадських будівель,18369,2020,Сєвєродонецьк,Енергоменеджер
Опалювальна площа громадських будівель з ІТП,36570,2020,Сєвєродонецьк,Енергоменеджер
Спожито електроенергії в житловому секторі,96799186,2020,Сєвєродонецьк,Енергоменеджер
Спожито теплової енергії в житловому секторі,251956972,2020,Сєвєродонецьк,Енергоменеджер
Спожито природного газу в житловому секторі,150831234,2020,Сєвєродонецьк,Енергоменеджер
Спожито енергії в багатоквартирних будинках із централізованим опаленням,339138147,2020,Сєвєродонецьк,Енергоменеджер
Спожито енергії в багатоквартирних будинках з індивідуальним опаленням,1544528,2020,Сєвєродонецьк,Енергоменеджер
Спожито енергії в приватних будинках,9415431,2020,Сєвєродонецьк,Енергоменеджер
Спожито енергії в житловому секторі,499587392,2020,Сєвєродонецьк,Енергоменеджер
Спожито електроенергії в житловому секторі,96799186,2020,Сєвєродонецьк,Енергоменеджер
Спожито теплової енергії в житловому секторі,289082258,2020,Сєвєродонецьк,Енергоменеджер
Спожито природного газу в житловому секторі,150831234,2020,Сєвєродонецьк,Енергоменеджер
Інвестицій в енергоефективність в житловому секторі,8.5,2020,Сєвєродонецьк,Енергоменеджер
Інвестиції в енергоефективність,41.5,2018,Сєвєродонецьк,Енергоменеджер
Інвестиції в енергоефективність,83.3,2018,Сєвєродонецьк,Енергоменеджер
Інвестиції в енергоефективність,65,2020,Сєвєродонецьк,Енергоменеджер
"Осіб, котрим надається водопостачання",100209,2020,Сєвєродонецьк,Енергоменеджер
Спожито енергоресурсів підприємствами водопостачання,2778000,2020,Сєвєродонецьк,Енергоменеджер
Каналізаційних стоків за рік,2916030,2020,Сєвєродонецьк,Енергоменеджер
Мереж водопостачання,256.03,2020,Сєвєродонецьк,Енергоменеджер
Мереж водовідведення та каналізації,154.7,2020,Сєвєродонецьк,Енергоменеджер
Бюджетних установ,85,2018,Сєвєродонецьк,Енергоменеджер
"Будівель бюджетних установ, в котрих доцільно проводити",153,2018,Сєвєродонецьк,Енергоменеджер
Структурних підрозділів в ОМС,34,2018,Сєвєродонецьк,Енергоменеджер
Транспортних засобів,171165,2018,Сєвєродонецьк,Енергоменеджер
Транспортних засобів із ДВЗ,16282,2018,Сєвєродонецьк,Енергоменеджер
Транспортних засобів із ГБО,4186,2018,Сєвєродонецьк,Енергоменеджер
Електромобілів,31,2018,Сєвєродонецьк,Енергоменеджер
Спожито енергоресурсів теплопостачальними підприємствами та підприємствами ГВП,511186959,2018,Сєвєродонецьк,Енергоменеджер
Бюджетних установ,85,2019,Сєвєродонецьк,Енергоменеджер
"Будівель бюджетних установ, в котрих доцільно проводити",153,2019,Сєвєродонецьк,Енергоменеджер
Структурних підрозділів в ОМС,34,2019,Сєвєродонецьк,Енергоменеджер
Транспортних засобів,19678,2019,Сєвєродонецьк,Енергоменеджер
Транспортних засобів із ДВЗ,18700,2019,Сєвєродонецьк,Енергоменеджер
Транспортних засобів із ГБО,5316,2019,Сєвєродонецьк,Енергоменеджер
Електромобілів,58,2019,Сєвєродонецьк,Енергоменеджер
Спожито енергоресурсів теплопостачальними підприємствами та підприємствами ГВП,520618826,2019,Сєвєродонецьк,Енергоменеджер
Бюджетних установ,85,2020,Сєвєродонецьк,Енергоменеджер
"Будівель бюджетних установ, в котрих доцільно проводити",153,2020,Сєвєродонецьк,Енергоменеджер
Структурних підрозділів в ОМС,26,2020,Сєвєродонецьк,Енергоменеджер
