Показник,Значення,Рік,Громада,Джерело
Перебуває осіб в спортивних закладах протягом дня,110,2020,Нововолинськ,Енергоменеджер
Опалювальна площа громадських будівель,89514.4,2020,Нововолинськ,Енергоменеджер
Опалювальна площа дошкільних навчальних закладів,6421.2,2020,Нововолинськ,Енергоменеджер
Опалювальна площа загальноосвітніх та позашкільних навчальних закладів,36533.2,2020,Нововолинськ,Енергоменеджер
Опалювальна площа закладів охорони здоров'я,1742.3,2020,Нововолинськ,Енергоменеджер
Опалювальна площа закладів культури,9859.3,2020,Нововолинськ,Енергоменеджер
Опалювальна площа спортивних закладів,5145.2,2020,Нововолинськ,Енергоменеджер
Опалювальна площа адміністративних та інших закладів,29829.2,2020,Нововолинськ,Енергоменеджер
Опалювальна площа громадських будівель із централізованим теплопостачанням,89514,2020,Нововолинськ,Енергоменеджер
Опалювальна площа квартир в багатоквартирних будинках із централізованим опаленням,646864,2020,Нововолинськ,Енергоменеджер
Опалювальна площа квартир в багатоквартирних будинках з індивідуальним опаленням,62447,2020,Нововолинськ,Енергоменеджер
"Електроенергія із ВДЕ, вироблена в громаді (сонячна+вітрова+біомаси+гідро+геотермальна)",115427750,2018,Нововолинськ,Обленерго
"Електроенергія із ВДЕ, вироблена в громаді (сонячна+вітрова+біомаси+гідро+геотермальна)",101385688,2019,Нововолинськ,Обленерго
"Електроенергія із ВДЕ, вироблена в громаді (сонячна+вітрова+біомаси+гідро+геотермальна)",101955558,2020,Нововолинськ,Обленерго
Опалювальна площа квартир в багатоквартирних будинках з індивідуальним опаленням,650675,2018,Нововолинськ,Облгаз
Опалювальна площа квартир в багатоквартирних будинках з індивідуальним опаленням,646761,2019,Нововолинськ,Облгаз
Опалювальна площа квартир в багатоквартирних будинках з індивідуальним опаленням,646864,2020,Нововолинськ,Облгаз
Спожито холодної води населенням,2127910,2018,Нововолинськ,Водоканал
Реалізовано холодної води підприємствами водопостачання,2789010,2018,Нововолинськ,Водоканал
Втрат води в мережах,1619120,2018,Нововолинськ,Водоканал
"Каналізаційних стоків, котрі проходять очистку",2322524,2018,Нововолинськ,Водоканал
Аварій в системі холодного водопостачання,436,2018,Нововолинськ,Водоканал
Мереж водопостачання в аварійному стані,147.6,2018,Нововолинськ,Водоканал
Аварій в системі водовідведення та каналізації,168,2018,Нововолинськ,Водоканал
Домогосподарств із централізованим водопостачанням,4029,2018,Нововолинськ,Водоканал
Спожито гарячої води від підприємств ГВП,31006,2018,Нововолинськ,Водоканал
"Осіб, котрим надається водопостачання",50394,2018,Нововолинськ,Водоканал
Спожито енергоресурсів підприємствами водопостачання,4500625,2018,Нововолинськ,Водоканал
Каналізаційних стоків за рік,2322524,2018,Нововолинськ,Водоканал
Мулу із каналізаційних стоків за рік,4088,2018,Нововолинськ,Водоканал
Мереж водопостачання,206.1,2018,Нововолинськ,Водоканал
Мереж водовідведення та каналізації,121.58,2018,Нововолинськ,Водоканал
Спожито холодної води населенням,2051530,2019,Нововолинськ,Водоканал
Реалізовано холодної води підприємствами водопостачання,2731590,2019,Нововолинськ,Водоканал
Втрат води в мережах,1382240,2019,Нововолинськ,Водоканал
"Каналізаційних стоків, котрі проходять очистку",2423541,2019,Нововолинськ,Водоканал
Аварій в системі холодного водопостачання,417,2019,Нововолинськ,Водоканал
Аварій в системі водовідведення та каналізації,245,2019,Нововолинськ,Водоканал
Мереж водовідведення та каналізації в аварійному стані,98.74,2019,Нововолинськ,Водоканал
Домогосподарств із централізованим водопостачанням,4026,2019,Нововолинськ,Водоканал
Спожито гарячої води від підприємств ГВП,26941,2019,Нововолинськ,Водоканал
"Осіб, котрим надається водопостачання",5080,2019,Нововолинськ,Водоканал
Спожито енергоресурсів підприємствами водопостачання,4413447,2019,Нововолинськ,Водоканал
Каналізаційних стоків за рік,2423541,2019,Нововолинськ,Водоканал
Мулу із каналізаційних стоків за рік,4769.8,2019,Нововолинськ,Водоканал
Мереж водопостачання,206.1,2019,Нововолинськ,Водоканал
Мереж водовідведення та каналізації,122.2,2019,Нововолинськ,Водоканал
Спожито холодної води населенням,1967340,2020,Нововолинськ,Водоканал
Реалізовано холодної води підприємствами водопостачання,2490800,2020,Нововолинськ,Водоканал
Втрат води в мережах,1201810,2020,Нововолинськ,Водоканал
"Каналізаційних стоків, котрі проходять очистку",2160350,2020,Нововолинськ,Водоканал
Аварій в системі холодного водопостачання,289,2020,Нововолинськ,Водоканал
Мереж водопостачання в аварійному стані,136,2020,Нововолинськ,Водоканал
Аварій в системі водовідведення та каналізації,275,2020,Нововолинськ,Водоканал
Мереж водовідведення та каналізації в аварійному стані,103,2020,Нововолинськ,Водоканал
Домогосподарств із централізованим водопостачанням,4028,2020,Нововолинськ,Водоканал
Спожито гарячої води від підприємств ГВП,25487,2020,Нововолинськ,Водоканал
"Осіб, котрим надається водопостачання",49798,2020,Нововолинськ,Водоканал
Спожито енергоресурсів підприємствами водопостачання,4306885,2020,Нововолинськ,Водоканал
Каналізаційних стоків за рік,2160350,2020,Нововолинськ,Водоканал
Мулу із каналізаційних стоків за рік,4099.2,2020,Нововолинськ,Водоканал
Мереж водопостачання,212.34,2020,Нововолинськ,Водоканал
Мереж водовідведення та каналізації,124.1,2020,Нововолинськ,Водоканал
